Entries with no synopsis (NEEDS_MANUAL) — 274 entries
Place new synopsis in: data/cleaned/{ID}.txt

ID         Title                                         Author                       Medium      
--------------------------------------------------------------------------------------------------
NOV_408    A Stranger in the House                       Shari Lapena                 Novel
NOV_003    A Study in Scarlet                            Arthur Conan Doyle           Novel       
NOV_441    All the Devils Are Here                       Louise Penny                 Novel       
NOV_400    All the Missing Girls                         Megan Miranda                Novel       
NOV_188    And on the Eighth Day                         Ellery Queen                 Novel       
NOV_258    Aunt Dimity and the Duke                      Nancy Atherton               Novel       
NOV_350    Before He Dies                                Henning Mankell              Novel       
NOV_418    Bring Me Back                                 B.A. Paris                   Novel       
NOV_269    Cause of Death                                Patricia Cornwell            Novel       
NOV_432    Charlie Thorne and the Last Equation          Stuart Gibbs                 Novel       
NOV_341    Confessions                                   Kanae Minato                 Novel       
NOV_374    Creepy                                        Yutaka Maekawa               Novel       
NOV_351    Dark Places                                   Gillian Flynn                Novel       
NOV_228    Death of a Cad                                M.C. Beaton                  Novel       
NOV_232    Death of an Outsider                          M.C. Beaton                  Novel       
NOV_092    Easy to Kill                                  Agatha Christie              Novel       
NOV_442    Eight Perfect Murders                         Peter Swanson                Novel       
NOV_246    For the Sake of Elena                         Elizabeth George             Novel       
NOV_402    Framed!                                       James Ponti                  Novel       
NOV_304    Full Dark House                               Christopher Fowler           Novel       
NOV_200    Hamish X and the Really Dangerous Pie         Lilian Jackson Braun         Novel       
NOV_381    How the Light Gets In                         Louise Penny                 Novel       
NOV_362    Ice Cold                                      Tess Gerritsen               Novel       
NOV_394    In a Dark, Dark Wood                          Ruth Ware                    Novel       
NOV_419    Kingdom of the Blind                          Louise Penny                 Novel       
NOV_376    Last to Die                                   Tess Gerritsen               Novel       
NOV_333    Mercy                                         Jussi Adler-Olsen            Novel       
NOV_108    N or M?                                       Agatha Christie              Novel       
NOV_189    Nerve                                         Dick Francis                 Novel       
NOV_196    Odds Against                                  Dick Francis                 Novel       
NOV_444    One by One                                    Ruth Ware                    Novel       
NOV_280    Point of Origin                               Patricia Cornwell            Novel       
NOV_224    Proof                                         Dick Francis                 Novel       
NOV_315    Seventy-Seven Clocks                          Christopher Fowler           Novel       
NOV_096    Tale of the Witch Doll                        Mildred Wirt Benson          Novel       
NOV_326    Ten Second Staircase                          Christopher Fowler           Novel       
NOV_422    The 7½ Deaths of Evelyn Hardcastle            Stuart Turton                Novel       
NOV_299    The Apprentice                                Tess Gerritsen               Novel       
NOV_377    The Beautiful Mystery                         Louise Penny                 Novel       
NOV_219    The Blue Hammer                               Ross Macdonald               Novel       
NOV_411    The Breakdown                                 B.A. Paris                   Novel       
NOV_010    The Cask                                      Freeman Wills Crofts         Novel       
NOV_001    The Crime of Orcival                          Émile Gaboriau               Novel       
NOV_089    The Crooked Hinge                             John Dickson Carr            Novel       
NOV_383    The Cuckoo's Calling                          Robert Galbraith             Novel       
NOV_423    The Death of Mrs Westaway                     Ruth Ware                    Novel       
NOV_436    The Girl in the Golden Cage                   Camilla Läckberg             Novel       
NOV_413    The Great Shelby Holmes                       Elizabeth Eulberg            Novel       
NOV_424    The Great Shelby Holmes Meets Her Match       Elizabeth Eulberg            Novel       
NOV_388    The Hanging Girl                              Jussi Adler-Olsen            Novel       
NOV_205    The Instant Enemy                             Ross Macdonald               Novel       
NOV_345    The Keepsake                                  Tess Gerritsen               Novel       
NOV_397    The Kind Worth Killing                        Peter Swanson                Novel       
NOV_446    The Kingdom                                   Jo Nesbø                     Novel       
NOV_437    The Last House Guest                          Megan Miranda                Novel       
NOV_226    The Lonely Silver Rain                        John D. MacDonald            Novel       
NOV_389    The Long Way Home                             Louise Penny                 Novel       
NOV_414    The Lying Game                                Ruth Ware                    Novel       
NOV_379    The Marco Effect                              Jussi Adler-Olsen            Novel       
NOV_223    The Master Key                                Soji Shimada                 Novel       
NOV_347    The Maze of Bones                             Rick Riordan                 Novel       
NOV_330    The Mephisto Club                             Tess Gerritsen               Novel       
NOV_348    The Murder Stone                              Louise Penny                 Novel       
NOV_015    The Mystery of the 'Clio'                     Freeman Wills Crofts         Novel       
NOV_398    The Nature of the Beast                       Louise Penny                 Novel       
NOV_425    The Other Woman                               Sandie Jones                 Novel       
NOV_415    The Perfect Stranger                          Megan Miranda                Novel       
NOV_288    The Pyramid                                   Henning Mankell              Novel       
NOV_012    The Red House Mystery                         A.A. Milne                   Novel       
NOV_390    The Secret Place                              Tana French                  Novel       
NOV_337    The Sleeping Doll                             Jeffery Deaver               Novel       
NOV_439    The Suspect                                   Shari Lapena                 Novel       
NOV_405    The Trespasser                                Tana French                  Novel       
NOV_440    The Turn of the Key                           Ruth Ware                    Novel       
NOV_211    The Underground Man                           Ross Macdonald               Novel       
NOV_313    The Water Room                                Christopher Fowler           Novel       
NOV_363    The Weed That Strings the Hangman's Bag       Alan Bradley                 Novel       
NOV_322    Vanish                                        Tess Gerritsen               Novel       
NOV_417    Vanished!                                     James Ponti                  Novel       
NOV_323    With No One as Witness                        Elizabeth George             Novel       
POD_008    And That's Why We Drink                       Christine Schiefer / Em Sch  Podcast     
POD_014    Bear Brook                                    New Hampshire Public Radio   Podcast     
POD_033    Bone Valley                                   Gilbert King                 Podcast     
POD_015    Casefile: Silk Road                           Casefile                     Podcast     
POD_009    Casefile: The Golden State Killer             Casefile                     Podcast     
POD_029    Chameleon: Hollywood Con Queen                Campside Media               Podcast     
POD_034    Chameleon: The Michigan Plot                  Campside Media               Podcast     
POD_010    Cold: Season 1                                Dave Cawley                  Podcast     
POD_004    Criminal: Disappeared                         Phoebe Judge                 Podcast     
POD_024    Criminal: The Doodler                         Phoebe Judge                 Podcast     
POD_011    Dirty John: Season 1                          Wondery / LA Times           Podcast     
POD_025    Dirty John: Season 2                          Wondery                      Podcast     
POD_016    Dr. Death: Season 1                           Wondery                      Podcast     
POD_031    Dr. Death: Season 2                           Wondery                      Podcast     
POD_017    In the Dark: Season 2                         APM Reports                  Podcast     
POD_035    In the Dark: Season 3                         APM Reports                  Podcast     
POD_018    Last Seen: The Isabella Stewart Gardner Heis  WBUR                         Podcast     
POD_019    Morbid                                        Alaina Urquhart / Ash Kelle  Podcast     
POD_005    My Favorite Murder: Season Various            Karen Kilgariff / Georgia H  Podcast     
POD_036    Over My Dead Body: Dying for Sex              Wondery                      Podcast     
POD_030    Over My Dead Body: Tally                      Wondery                      Podcast     
POD_027    Scam Goddess: Season 1                        Laci Mosley                  Podcast     
POD_002    Serial: Season 2                              Sarah Koenig                 Podcast     
POD_020    Serial: Season 3                              Sarah Koenig                 Podcast     
